CreditScore,Geography,Gender,Age,Balance,NumOfProducts,IsActiveMember
430,Spain,Female,31,32529.51,2,0
703,Spain,Female,28,71262.13,2,0
451,France,Female,52,81677.95,3,1
353,France,Female,58,18161.4,1,0
419,France,Female,31,37094.1,4,1
719,France,Female,47,90194.02,4,0
721,Spain,Male,58,80669.35,2,1
403,Germany,Male,21,98485.84,3,0
553,France,Female,21,75424.83,1,1
526,Germany,Female,45,39319.52,1,0
411,France,Female,25,59063.78,2,1
809,France,Male,19,66101.43,2,0
772,Germany,Female,58,7845.58,1,1
398,Spain,Male,63,54449.7,1,1
452,France,Female,39,70932.08,2,1
637,France,Female,58,16732.13,1,0
462,France,Male,33,78063.17,4,0
460,Germany,Male,46,58377.28,2,0
697,Spain,Female,66,95222.18,1,1
576,Germany,Female,65,4242.23,2,0
803,Germany,Female,47,26532.61,3,1
691,Spain,Male,29,60155.39,2,0
434,Germany,Male,52,29655.99,2,0
494,Spain,Male,28,71442.42,3,0
700,France,Male,63,75900.53,4,0
332,Spain,Male,67,10251.6,1,1
759,France,Male,38,51385.45,3,0
769,Germany,Female,38,50889.06,2,0
674,Germany,Female,22,36928.08,1,1
321,France,Male,65,93292.49,3,1
337,Germany,Female,37,82750.63,1,0
529,Spain,Female,54,69720.94,1,0
664,France,Male,20,71432.66,3,1
737,Germany,Female,61,46171.61,1,1
582,France,Male,50,92099.45,4,1
326,Spain,Male,26,69459.54,3,0
525,Spain,Female,26,72898.11,4,0
576,Germany,Male,21,86169.09,2,0
583,Spain,Male,52,27407.16,1,1
780,France,Male,34,80707.09,2,1
752,Spain,Male,51,19524.06,2,1
815,France,Male,41,34534.2,1,0
846,France,Male,49,33561.05,3,1
491,Spain,Male,18,97852.55,1,0
348,Germany,Male,25,85653.72,2,1
811,Spain,Female,62,70116.99,2,0
316,France,Female,40,72705.68,3,0
471,France,Female,64,56207.28,1,1
519,Spain,Male,57,94709.07,2,0
457,Germany,Male,29,49625.88,4,1
776,Germany,Female,29,38051.77,2,0
345,France,Female,63,16303.53,2,1
672,France,Female,64,78620.57,3,1
817,Germany,Male,32,73444.39,4,0
398,Spain,Female,58,38435.5,2,1
336,France,Female,36,2519.34,2,0
579,France,Male,43,83899.73,4,1
648,Germany,Female,69,1141.8,1,1
796,Spain,Male,46,70369.98,1,1
601,Germany,Male,39,97025.71,2,1
480,Spain,Male,57,43766.13,2,0
398,Spain,Female,38,23497.34,1,1
415,Spain,Female,68,70487.1,3,1
490,France,Male,55,81712.81,4,0
552,Germany,Female,37,54643.03,4,0
460,Germany,Female,46,96703.53,3,0
555,Spain,Female,68,5166.87,3,0
622,France,Female,21,50479.56,3,0
427,France,Male,24,71845.39,3,0
317,Germany,Female,45,86264.05,3,1
622,France,Male,45,17925.56,3,0
587,France,Male,21,80000.35,4,1
454,Spain,Female,39,55270.71,3,0
789,France,Male,29,39655.37,1,1
685,Spain,Female,62,13171.5,3,1
403,Germany,Female,20,86529.58,3,1
692,France,Male,39,15727.32,4,0
545,Germany,Male,61,30978.79,4,0
475,Germany,Male,19,29004.55,3,0
338,France,Male,41,87141.4,4,0
776,France,Female,51,67270.3,2,1
837,Germany,Female,44,79668.14,4,0
707,France,Female,58,25046.79,4,1
824,Spain,Male,18,62487.41,4,1
805,Spain,Male,25,57174.6,4,0
335,France,Male,40,83283.04,1,0
319,Germany,Female,55,90608.71,1,0
620,France,Male,23,1215.68,1,1
811,France,Female,39,67401.99,3,0
699,Germany,Male,42,5183.58,3,1
770,Germany,Female,35,54885.87,2,0
442,Spain,Female,34,28763.27,1,1
391,Germany,Male,29,30677.66,3,0
653,Spain,Male,23,35295.85,4,0
350,Germany,Female,43,62129.24,4,1
489,France,Female,44,33405.0,1,0
424,Spain,Male,25,73269.91,2,0
449,Spain,Male,36,40452.74,2,0
613,Spain,Female,59,6835.32,4,0
641,France,Male,18,78375.98,2,0
604,France,Female,46,28575.83,1,0
353,France,Female,62,43276.69,4,0
743,France,Male,66,68544.39,3,1
563,France,Male,52,33245.62,3,1
352,Spain,Male,57,5658.57,2,0
304,France,Male,31,37392.1,4,0
402,Spain,Male,52,94444.86,4,0
495,France,Female,65,64173.44,3,1
649,Germany,Female,62,67147.91,4,1
346,Spain,Male,37,63228.22,4,0
568,Germany,Male,66,19899.21,4,1
669,Spain,Male,30,41833.39,2,0
405,Germany,Female,55,75093.98,4,0
419,France,Male,66,10137.29,1,0
357,France,Male,63,27785.28,2,0
645,France,Female,66,27631.91,4,1
773,Spain,Female,25,43201.89,4,1
416,Germany,Male,60,98036.87,1,0
426,France,Male,37,6750.25,2,1
692,Germany,Male,50,51870.1,3,1
357,Germany,Female,43,17936.47,3,0
812,France,Male,56,97067.65,2,1
395,France,Male,38,11330.35,4,0
417,Germany,Male,66,40360.1,4,0
787,France,Female,59,73788.5,3,0
536,France,Female,60,70455.44,3,0
571,France,Male,58,42272.86,3,1
488,Spain,Male,26,34652.42,1,0
746,Germany,Female,41,39761.24,3,1
546,Germany,Female,54,26427.63,1,0
375,Spain,Female,66,20533.29,2,0
453,Germany,Female,58,48303.97,4,1
734,France,Female,34,26853.38,3,0
385,Germany,Female,41,28746.17,4,1
584,France,Female,38,65675.61,4,1
519,Spain,Female,68,96853.73,3,0
368,France,Female,56,60363.72,3,0
346,Germany,Male,58,7697.95,2,0
393,Germany,Male,56,7558.36,1,0
752,Germany,Male,30,95142.32,1,0
503,Spain,Female,28,29729.08,4,0
517,Spain,Male,63,9206.7,3,1
773,Germany,Female,36,59904.46,2,1
731,France,Female,28,62364.88,2,0
640,Spain,Male,30,64850.48,2,1
850,Germany,Female,63,26740.2,2,1
588,Germany,Male,62,1511.07,2,0
553,Spain,Male,18,96501.54,1,0
656,Spain,Male,57,25089.3,1,1
322,Spain,Female,61,67602.63,1,0
821,France,Male,36,70662.99,3,1
399,France,Female,29,61000.74,4,0
479,Germany,Male,25,31290.74,2,1
522,Spain,Male,25,27109.63,3,1
741,France,Male,62,59766.83,2,1
624,Spain,Female,29,86609.56,1,1
815,Germany,Female,65,94673.37,3,0
315,France,Female,50,10590.58,1,0
635,France,Male,62,15482.86,2,1
557,France,Male,43,94473.63,2,1
796,Germany,Female,56,73653.52,4,0
459,Spain,Female,45,88299.38,2,0
774,France,Female,22,20263.26,1,1
679,Germany,Female,25,58758.59,2,1
844,Spain,Female,42,70113.96,4,1
726,Germany,Female,44,68011.19,4,1
567,Spain,Male,63,40815.17,1,1
716,Germany,Female,40,1539.49,3,0
467,Spain,Male,47,58292.61,2,1
342,France,Male,62,25310.15,4,0
584,Spain,Female,64,45025.42,2,0
696,Germany,Female,40,95758.1,2,0
311,Germany,Male,66,39903.53,3,1
601,Spain,Female,64,83980.16,4,0
552,France,Female,37,18854.06,2,0
798,France,Male,35,67246.05,4,0
334,Spain,Male,35,97700.7,1,0
389,Spain,Male,19,10189.31,1,1
717,Germany,Female,21,831.99,2,1
414,France,Male,47,43358.28,4,0
495,Spain,Female,50,9262.55,2,0
800,France,Male,53,74838.43,4,1
792,Spain,Male,35,91454.87,4,1
374,Spain,Male,54,43402.1,3,1
712,France,Female,36,25871.16,3,0
675,Spain,Female,64,43440.33,3,1
719,Spain,Male,45,72344.78,2,0
576,Germany,Male,57,905.42,3,0
693,Spain,Male,37,58945.4,3,1
756,Spain,Female,66,61329.17,1,0
491,Spain,Male,50,63768.82,4,1
398,Germany,Female,29,24202.21,4,0
847,France,Male,68,71405.27,3,1
395,Germany,Male,32,9139.15,4,0
489,Germany,Male,58,19927.03,1,0
336,France,Male,56,87747.0,1,1
668,Germany,Male,19,73872.32,3,1
824,France,Male,46,1374.56,1,1
578,Germany,Female,58,24837.63,4,1
516,France,Male,27,21440.65,2,0
572,Spain,Female,19,27080.63,4,1
361,Germany,Male,68,24755.98,2,1
641,Germany,Male,28,6252.63,3,0
696,Germany,Female,30,45894.05,2,1
318,Germany,Male,27,73273.35,1,1
476,Spain,Female,31,60673.17,4,0
695,Germany,Female,35,67287.17,2,1
744,Spain,Male,68,8114.92,4,1
532,Spain,Female,26,95149.07,3,1
375,Spain,Female,56,83849.18,3,1
564,Spain,Male,45,80509.03,1,1
754,France,Female,20,82298.38,3,1
683,France,Male,37,93271.05,2,0
805,Germany,Male,23,54425.4,3,1
666,France,Male,44,20028.2,1,0
443,France,Male,19,61678.36,4,0
368,Germany,Female,46,74288.15,4,0
398,Germany,Male,55,73791.74,3,0
695,Germany,Male,20,52144.9,2,1
324,France,Female,33,6845.87,1,1
768,France,Male,47,37111.29,2,1
783,Germany,Male,57,92076.66,1,0
450,Spain,Female,19,58444.89,3,1
443,Germany,Female,34,53833.19,1,1
338,Spain,Female,58,26885.35,1,1
408,Spain,Female,29,36844.89,3,0
341,Germany,Female,52,89534.61,2,0
485,Germany,Female,60,66646.3,3,1
697,Germany,Female,18,78738.7,1,0
522,France,Male,62,45434.54,3,0
432,Spain,Female,32,63024.72,1,1
462,France,Female,43,24838.36,3,0
514,France,Female,54,70546.08,4,0
534,Germany,Male,38,42760.13,4,1
308,France,Male,66,44254.55,3,0
373,Germany,Female,48,64932.23,2,0
791,Spain,Female,42,93628.06,1,0
552,Germany,Female,40,6400.63,4,0
529,France,Male,41,82474.32,2,0
818,France,Male,55,29238.31,1,0
473,Germany,Female,45,44391.95,4,0
467,Germany,Male,38,2191.33,4,0
469,France,Female,60,30104.61,3,1
692,Spain,Male,35,50263.12,1,1
493,Spain,Male,53,5617.61,2,1
816,Germany,Female,52,49109.57,2,1
328,Spain,Female,62,92711.06,2,0
464,France,Female,26,10539.32,1,1
721,Germany,Female,55,76444.07,2,1
638,France,Male,47,40967.11,2,0
795,France,Male,61,65517.37,2,0
664,Spain,Male,51,26023.66,3,0
641,Germany,Female,49,15949.23,3,0
799,Germany,Male,20,16046.26,1,0
810,Spain,Female,20,7049.19,1,1
626,France,Male,45,18564.67,2,0
516,France,Female,61,66421.94,3,1
600,France,Female,32,88169.06,4,1
431,France,Male,58,81412.57,4,0
369,Germany,Female,40,68513.43,2,1
551,Germany,Female,57,11043.19,2,1
714,Spain,Male,28,28918.74,3,0
744,Spain,Female,65,30980.69,3,1
481,Germany,Female,49,24995.69,3,1
466,Germany,Female,53,51500.57,1,1
390,France,Male,50,53555.38,1,0
830,France,Male,41,35688.6,2,0
338,Spain,Female,56,35378.92,1,0
425,Germany,Male,51,82855.56,3,1
750,Spain,Female,45,78929.28,3,0
472,Germany,Female,54,30779.58,1,1
519,France,Female,24,91378.84,4,0
357,Spain,Female,21,95281.5,2,1
775,Spain,Female,54,32674.25,4,0
755,Germany,Male,18,35442.49,2,0
660,France,Female,18,50563.42,4,1
300,Spain,Male,64,94112.08,1,0
686,France,Male,37,87631.94,2,1
647,Spain,Female,36,10256.8,2,0
489,France,Female,46,39273.07,2,0
804,Germany,Male,27,55337.12,3,1
490,Spain,Male,35,50313.25,3,1
807,Spain,Male,45,19386.31,4,1
668,France,Female,52,85881.68,1,0
708,France,Male,60,67694.08,3,1
416,Spain,Female,64,83790.84,2,0
433,Germany,Female,48,85876.43,3,1
357,France,Female,44,74835.59,1,1
472,France,Male,28,43921.06,3,1
448,France,Female,66,61054.68,2,1
379,Spain,Female,66,16036.54,4,1
512,Spain,Female,55,67364.54,2,1
502,Spain,Female,22,17925.33,1,0
528,Spain,Female,25,69394.96,4,1
526,Germany,Male,51,22959.82,3,0
831,Germany,Female,65,11755.13,3,1
740,Spain,Female,69,16528.45,3,1
701,Germany,Male,29,199.21,4,1
346,France,Female,55,71873.96,2,0
532,France,Male,18,73240.1,4,0
604,France,Female,48,51493.33,4,1
825,Spain,Male,21,16136.28,1,0
442,France,Male,66,8355.43,4,1
714,Germany,Female,62,1912.9,3,1
812,Spain,Female,67,16574.82,2,0
672,Germany,Female,22,89085.55,2,0
558,France,Male,47,24153.68,2,0
770,France,Male,41,35427.13,3,0
311,France,Male,20,10534.55,3,1
629,Spain,Female,28,22236.13,3,0
657,Germany,Male,62,51922.46,3,0
707,Spain,Male,21,60775.27,3,1
672,Spain,Female,43,24535.23,4,0
307,France,Male,44,5773.22,3,0
421,Spain,Male,63,39103.29,3,0
647,Spain,Female,60,23420.34,3,0
389,France,Male,44,21955.39,3,1
615,Spain,Female,59,95986.28,2,1
477,France,Female,68,61630.05,3,0
839,France,Female,67,55687.84,4,0
340,France,Female,23,41577.51,4,1
801,France,Female,32,42894.43,4,0
444,Spain,Male,47,54090.5,1,0
500,France,Male,59,69642.98,2,0
760,France,Female,54,70214.61,3,0
846,Spain,Female,54,17169.39,1,0
552,Spain,Male,59,50011.28,3,0
689,Germany,Female,54,41195.81,1,0
555,Spain,Female,52,87052.7,1,0
749,Spain,Female,40,63141.89,4,0
309,Germany,Male,23,53250.41,4,1
541,Spain,Male,21,11539.46,1,1
550,Spain,Female,35,60563.79,4,1
304,Spain,Female,26,11720.39,1,0
418,Spain,Male,66,33720.66,2,0
673,Germany,Male,46,14284.2,4,1
364,Spain,Female,30,69207.36,4,0
445,Spain,Female,64,20625.21,4,1
523,Germany,Male,69,39185.94,2,0
538,France,Male,34,89567.48,1,1
476,Germany,Male,62,20431.64,3,1
581,France,Female,49,50780.51,4,1
362,Germany,Male,65,41927.17,1,0
516,Germany,Female,39,1812.4,2,1
760,Spain,Male,21,79275.81,3,0
404,France,Male,22,6904.59,4,0
398,Spain,Male,54,47425.5,2,0
810,France,Male,58,56067.83,2,0
684,Germany,Female,66,62842.65,3,0
704,Germany,Female,30,68863.16,1,0
817,France,Male,51,25327.24,4,0
775,Spain,Female,62,997.88,4,1
736,Spain,Male,39,72344.37,1,1
322,Spain,Male,40,53565.66,1,1
757,Spain,Male,68,83611.77,1,0
382,Germany,Male,20,82138.84,3,0
444,Germany,Female,59,84332.62,3,0
384,Germany,Male,51,48509.47,4,0
377,Germany,Male,49,33362.84,3,1
756,Germany,Female,62,79155.82,2,0
300,Spain,Male,68,45129.41,4,1
350,Spain,Male,66,18344.22,3,0
745,Spain,Male,38,85497.4,1,1
748,Spain,Female,63,88255.99,2,0
787,Germany,Male,61,46630.98,1,1
333,Germany,Female,38,7569.97,4,0
647,Germany,Male,61,38782.61,1,1
394,France,Male,28,80353.77,3,0
371,Spain,Female,56,90177.4,3,1
850,Spain,Male,21,20347.27,4,1
453,Germany,Male,68,6697.36,1,0
549,Spain,Female,18,87735.05,4,1
737,Spain,Female,45,38940.49,1,0
417,Germany,Female,41,54176.1,2,0
605,France,Female,52,96806.58,3,0
567,France,Female,30,6656.47,4,1
353,France,Male,64,64831.8,2,1
535,Germany,Female,51,7410.54,2,0
688,Spain,Male,28,37546.89,4,0
700,Germany,Male,53,80381.45,4,1
602,Germany,Male,68,43347.22,2,1
506,Spain,Female,34,99718.24,1,1
528,France,Female,52,55905.93,2,0
374,France,Male,35,32116.22,4,0
734,Germany,Female,57,22011.13,2,0
402,France,Female,39,35052.05,1,0
721,Germany,Female,41,37253.33,3,0
605,Germany,Female,36,6871.37,3,1
397,Spain,Male,54,36957.42,2,0
634,Spain,Male,56,46423.85,1,1
734,Spain,Female,38,72273.78,3,1
746,Germany,Male,25,65672.95,2,0
607,Spain,Female,45,70876.57,2,1
548,France,Female,22,836.37,1,0
465,France,Male,34,21766.74,4,1
780,Germany,Male,54,66168.43,2,0
634,Germany,Male,53,48398.94,4,0
841,Spain,Female,36,531.35,4,1
405,Germany,Male,44,80449.46,3,0
380,Germany,Female,51,77280.96,4,1
432,France,Male,28,54841.92,1,0
437,France,Male,62,6646.33,3,0
483,Spain,Female,64,76651.5,3,0
700,Germany,Female,29,58371.36,3,1
629,Germany,Female,38,78196.0,2,1
807,France,Female,28,75174.7,2,0
368,Germany,Female,56,80300.21,4,1
845,France,Female,45,51800.81,3,0
352,Spain,Female,22,14032.45,3,1
749,France,Female,34,67115.75,1,1
504,Germany,Male,37,62047.38,4,0
425,Spain,Female,58,74225.32,1,0
342,France,Female,63,16988.1,4,0
410,France,Male,29,19497.52,4,0
482,Spain,Female,23,89040.95,2,0
394,Spain,Male,34,74997.78,2,1
673,France,Male,68,90822.85,1,1
819,Germany,Female,36,75871.53,4,0
659,France,Male,43,59715.53,3,0
580,Spain,Female,65,65413.27,2,0
494,France,Male,61,88912.79,3,1
494,Spain,Male,61,57880.68,1,0
392,Spain,Male,69,63239.13,2,0
360,Germany,Female,49,15647.67,2,1
350,Spain,Female,23,47392.12,4,1
702,Spain,Male,53,71639.71,1,1
304,Germany,Male,55,27094.27,4,1
765,Spain,Female,28,20225.42,2,0
833,Germany,Female,50,31382.68,1,1
704,Germany,Male,41,24150.06,2,1
812,Spain,Male,40,21491.26,1,0
532,Spain,Female,32,42485.08,2,0
823,France,Female,44,90783.85,3,0
645,Germany,Female,28,50705.96,3,1
345,France,Female,68,18792.04,4,0
845,Spain,Female,67,7697.17,3,1
377,France,Male,34,69615.61,2,1
372,Germany,Female,68,38279.88,2,1
548,France,Male,31,82183.09,3,0
346,Germany,Female,44,65951.08,4,1
420,Spain,Male,35,79624.15,3,0
513,Spain,Female,45,27194.6,1,0
538,Germany,Female,68,69235.89,1,0
355,Spain,Male,64,26406.2,1,1
649,Spain,Male,64,93906.85,3,1
406,Spain,Female,21,63637.43,3,1
347,Spain,Female,24,32451.18,3,0
636,Germany,Female,62,26951.19,1,1
325,France,Female,52,19092.66,4,1
556,France,Female,65,69464.1,2,1
307,Spain,Male,26,21871.56,3,1
552,France,Male,25,59530.33,4,1
602,France,Female,69,26463.5,2,0
355,Spain,Male,62,66196.89,2,0
825,Spain,Male,34,81493.97,2,0
773,France,Male,34,77802.52,4,0
327,Germany,Female,66,76085.13,4,1
377,Spain,Male,50,18772.24,1,0
515,Germany,Female,49,8838.49,4,1
685,France,Male,25,69894.88,4,0
664,Spain,Female,36,36834.72,4,0
825,Germany,Male,55,43234.62,2,0
611,Spain,Female,20,3114.91,3,1
306,France,Female,22,25957.64,1,1
302,Germany,Male,30,3367.64,3,0
662,France,Female,64,87918.58,3,1
807,France,Female,63,24339.67,4,0
573,Spain,Female,48,55733.72,1,0
805,Germany,Female,33,3897.93,3,0
314,France,Female,67,66684.74,3,1
491,France,Female,49,32302.73,1,0
784,Germany,Female,39,89791.92,4,0
327,France,Female,46,88811.82,3,0
338,France,Male,39,32529.06,2,1
572,Germany,Male,60,90096.09,3,0
530,Germany,Female,20,99615.77,2,1
385,Germany,Female,27,82541.57,4,0
773,Germany,Male,59,84487.13,3,1
425,Spain,Male,38,24900.87,1,0
836,Germany,Male,33,57670.24,1,0
444,Spain,Female,29,6725.59,3,1
824,Spain,Male,19,9491.79,4,1
511,Spain,Female,58,99889.26,4,0
324,France,Female,41,32663.92,1,1
693,Spain,Male,52,74818.39,3,0
366,Spain,Female,47,80666.51,4,0
532,France,Female,47,85802.33,1,0
408,France,Female,64,99762.83,2,1
445,France,Female,52,24149.65,3,0
410,Germany,Male,36,4035.08,2,1
527,France,Male,67,41119.15,2,0
410,France,Female,25,13008.07,4,1
769,Spain,Female,43,2242.59,4,1
333,France,Male,66,36042.68,4,0
668,Germany,Female,57,78373.83,3,1
724,France,Male,24,56618.07,2,0
817,Germany,Female,47,31277.8,3,0
581,France,Female,24,65434.2,4,0
619,France,Male,20,23201.82,2,0
742,France,Male,18,1438.14,3,0
614,France,Male,53,76435.34,3,1
676,Germany,Male,42,62374.31,1,0
588,Germany,Female,54,76230.26,3,1
736,Spain,Male,18,3893.8,4,1
576,Germany,Female,32,83711.96,3,0
802,France,Male,54,61952.62,2,1
815,Spain,Male,30,56339.54,3,0
649,Spain,Female,57,62461.4,1,1
745,Spain,Male,25,86443.32,2,1
649,France,Male,22,58693.65,2,1
436,Germany,Male,26,58095.04,1,0
542,France,Male,18,99067.92,4,1
842,Spain,Female,53,75673.02,2,0
339,France,Female,52,44229.38,4,1
528,France,Male,19,70739.7,2,1
847,Germany,Male,57,38923.05,2,1
522,Germany,Male,40,22887.55,4,1
305,Spain,Female,26,59685.19,2,0
